pos,mean-2stdev,mean,mean+2stdev,numFiles,max,min,highOutliers,lowOutliers,#reads
207,27.6814,29.0585,30.4356,2,29.7470,28.3700,"","",1016
208,27.3374,29.0151,30.6928,2,29.8540,28.1763,"","",1194
209,27.0153,28.4573,29.8992,2,29.1782,27.7363,"","",917
210,27.6698,28.3215,28.9732,2,28.6474,27.9957,"","",808
211,28.1277,28.4106,28.6935,2,28.5520,28.2692,"","",680
212,27.8069,28.1209,28.4348,2,28.2778,27.9639,"","",612
213,27.3245,27.7491,28.1736,2,27.9614,27.5368,"","",611
214,26.7619,28.0591,29.3563,2,28.7077,27.4105,"","",553
215,26.9772,28.1453,29.3135,2,28.7294,27.5613,"","",520
216,27.6623,28.3779,29.0935,2,28.7357,28.0201,"","",603
217,27.5377,27.7249,27.9121,2,27.8185,27.6313,"","",766
218,27.4024,28.4109,29.4194,2,28.9151,27.9066,"","",844
219,27.5382,27.6564,27.7745,2,27.7155,27.5973,"","",514
220,26.7122,27.6906,28.6691,2,28.1799,27.2014,"","",542
221,26.8615,27.4618,28.0621,2,27.7619,27.1617,"","",567
222,27.3125,27.4566,27.6007,2,27.5287,27.3846,"","",533
223,27.5060,27.7043,27.9026,2,27.8034,27.6052,"","",614
224,26.6538,27.4396,28.2255,2,27.8325,27.0467,"","",690
225,27.6035,27.7191,27.8348,2,27.7770,27.6613,"","",639
226,27.0739,27.5328,27.9916,2,27.7622,27.3033,"","",670
227,27.4776,27.7004,27.9232,2,27.8118,27.5890,"","",674
228,25.7744,27.1941,28.6139,2,27.9040,26.4843,"","",720
229,25.9758,27.1365,28.2971,2,27.7168,26.5561,"","",697
230,27.7650,28.0265,28.2881,2,28.1573,27.8958,"","",786
231,27.6613,27.8121,27.9628,2,27.8875,27.7367,"","",835
232,26.8396,27.2834,27.7272,2,27.5053,27.0615,"","",871
233,26.9123,27.4411,27.9700,2,27.7056,27.1767,"","",908
234,26.8947,27.7354,28.5762,2,28.1558,27.3151,"","",974
235,28.1059,28.1671,28.2284,2,28.1978,28.1365,"","",1053
236,26.9126,27.5445,28.1764,2,27.8605,27.2286,"","",1115
237,25.3273,26.7622,28.1970,2,27.4796,26.0447,"","",1235
238,23.9180,26.4698,29.0216,2,27.7457,25.1939,"","",1327
239,23.7470,26.6050,29.4631,2,28.0340,25.1760,"","",1512
240,23.8400,26.2716,28.7033,2,27.4875,25.0558,"","",1478
241,26.0879,27.3908,28.6938,2,28.0423,26.7393,"","",2030
242,25.7251,27.0763,28.4276,2,27.7519,26.4007,"","",2024
243,27.2611,27.9549,28.6488,2,28.3019,27.6080,"","",2293
244,26.7090,27.7543,28.7995,2,28.2769,27.2316,"","",3406
245,26.9095,27.7118,28.5141,2,28.1129,27.3106,"","",5909
246,25.3185,27.0127,28.7070,2,27.8599,26.1656,"","",10439
247,27.5965,27.6342,27.6718,2,27.6530,27.6154,"","",26000
248,26.3406,27.4242,28.5078,2,27.9660,26.8824,"","",48205
249,27.3991,27.4853,27.5716,2,27.5285,27.4422,"","",5336
250,26.3199,26.9277,27.5355,2,27.2316,26.6238,"","",4847
251,27.2741,27.3669,27.4596,2,27.4132,27.3205,"","",5138
252,25.8333,27.3231,28.8129,2,28.0680,26.5782,"","",5572
253,24.3448,26.9194,29.4941,2,28.2068,25.6321,"","",9020
254,23.1492,26.6163,30.0834,2,28.3499,24.8828,"","",1704
255,25.4580,27.4908,29.5237,2,28.5073,26.4744,"","",1998
256,22.2166,26.0881,29.9595,2,28.0238,24.1524,"","",1622
257,23.5641,25.6657,27.7673,2,26.7165,24.6149,"","",1479
258,24.0112,26.5634,29.1156,2,27.8395,25.2873,"","",1206
259,23.9933,27.4745,30.9556,2,29.2150,25.7339,"","",1296
260,25.0284,26.9792,28.9300,2,27.9546,26.0038,"","",1235
261,24.0772,26.9574,29.8376,2,28.3975,25.5173,"","",1543
262,24.5574,27.7354,30.9134,2,29.3244,26.1464,"","",1804
263,24.7053,27.5085,30.3117,2,28.9101,26.1069,"","",1329
264,24.0109,27.4727,30.9345,2,29.2036,25.7418,"","",1525
265,24.1528,27.5619,30.9709,2,29.2664,25.8573,"","",1302
266,26.2409,28.4533,30.6658,2,29.5596,27.3471,"","",1683
267,26.1609,28.7767,31.3926,2,30.0847,27.4688,"","",1472
